t,theta_true,omega_true,theta_hat,omega_hat,theta_meas,omega_meas,forcing_d,u,error,pid_integral,pid_derivative,K00,K01,K10,K11,P00,P01,P10,P11,Q00,Q01,Q10,Q11,R00,R01,R10,R11
19.38,10.421928910031204,0.035114328890108126,10.25156178558448,-0.5535710875551543,10.424091551835904,-0.03208111789260236,1.4944124861999553,-9.413471809811778,-0.25156178558447984,-6.768133409410137,-0.018209279573877524,0.06127716807822552,0.0,0.0,0.06127716807822552,0.0030638584039112764,0.0,0.0,0.0030638584039112764,0.01,0.0,0.0,0.01,0.05,0.0,0.0,0.05
19.400000000000002,10.422631196609005,0.04080636046876036,10.249546850049777,-0.5500120501477406,10.388285807069899,0.12914868114186942,1.3691136829249824,-9.32016982440269,-0.24954685004977684,-6.773124346411132,0.10074677673514998,0.06127716807822552,0.0,0.0,0.06127716807822552,0.0030638584039112764,0.0,0.0,0.0030638584039112764,0.01,0.0,0.0,0.01,0.05,0.0,0.0,0.05
19.42,10.423447323818381,0.050555901988606586,10.244016890877488,-0.5433024808605854,10.32781773567074,0.11081634972543303,1.315836387713817,-9.0670992934386,-0.24401689087748757,-6.778004684228682,0.27649795861446336,0.06127716807822552,0.0,0.0,0.06127716807822552,0.0030638584039112764,0.0,0.0,0.0030638584039112764,0.01,0.0,0.0,0.01,0.05,0.0,0.0,0.05
19.44,10.424458441858153,0.06340801276099475,10.246853545241335,-0.5314693427945641,10.456769268984695,0.08954712265072624,1.065826950402843,-8.66517767577463,-0.24685354524133452,-6.782941755133509,-0.14183271819234733,0.06127716807822552,0.0,0.0,0.06127716807822552,0.0030638584039112764,0.0,0.0,0.0030638584039112764,0.01,0.0,0.0,0.01,0.05,0.0,0.0,0.05
19.46,10.425726602113373,0.0558467648519701,10.24570759927643,-0.5423916699810698,10.390987199635665,-0.00882344217162083,0.9112357973831829,-9.535142643931549,-0.2457075992764306,-6.787855907119037,0.057297298245195805,0.06127716807822552,0.0,0.0,0.06127716807822552,0.0030638584039112764,0.0,0.0,0.0030638584039112764,0.01,0.0,0.0,0.01,0.05,0.0,0.0,0.05
19.48,10.426843537410413,0.053086730977280165,10.249550601599562,-0.5365561388520804,10.474603804047755,0.13166514072122387,0.7389031957840102,-9.130337303392952,-0.24955060159956233,-6.792846919151028,-0.1921501161565864,0.06127716807822552,0.0,0.0,0.06127716807822552,0.0030638584039112764,0.0,0.0,0.0030638584039112764,0.01,0.0,0.0,0.01,0.05,0.0,0.0,0.05
19.5,10.427905272029959,0.036542157253909885,10.24858057352512,-0.5437241152332782,10.398113633704773,0.08380013072845649,0.5857684008104711,-9.672653167459824,-0.24858057352511942,-6.79781853062153,0.0485014037221454,0.06127716807822552,0.0,0.0,0.06127716807822552,0.0030638584039112764,0.0,0.0,0.0030638584039112764,0.01,0.0,0.0,0.01,0.05,0.0,0.0,0.05
19.52,10.428636115175037,0.031531505785796214,10.248982828826367,-0.5417489375108121,10.421734465239256,0.07865606205468677,0.6689253724701006,-9.186621458428434,-0.24898282882636735,-6.802798187198057,-0.020112765062396676,0.06127716807822552,0.0,0.0,0.06127716807822552,0.0030638584039112764,0.0,0.0,0.0030638584039112764,0.01,0.0,0.0,0.01,0.05,0.0,0.0,0.05
19.54,10.429266745290752,0.02434540507714574,10.260760956286477,-0.5423016548467429,10.607177733791696,0.08342906073561426,0.701954592082324,-9.332852005586524,-0.260760956286477,-6.808013406323787,-0.5889063730054822,0.06127716807822552,0.0,0.0,0.06127716807822552,0.0030638584039112764,0.0,0.0,0.0030638584039112764,0.01,0.0,0.0,0.01,0.05,0.0,0.0,0.05
19.56,10.429753653392295,-0.0017831304005012302,10.26582364344193,-0.5724433306165733,10.50953397464567,-0.03767758296397285,1.0112693465977054,-10.593435715199522,-0.2658236434419301,-6.813329879192626,-0.25313435777265525,0.06127716807822552,0.0,0.0,0.06127716807822552,0.0030638584039112764,0.0,0.0,0.0030638584039112764,0.01,0.0,0.0,0.01,0.05,0.0,0.0,0.05
