t,r1x,r2x,r3x,v1x,v2x,v3x,a1x,a2x,a3x,r1y,r2y,r3y,v1y,v2y,v3y,a1y,a2y,a3y
44.800000000000004,-8.711595419322295,-10.651604139322313,-11.204325308677705,0.026245674454905554,0.026245674454905554,-0.4924493594549162,-0.3552460345614238,-0.1384145629592699,0.4936605975206937,-9.564129941553341,-9.077954881553353,-10.048942292446794,-0.6659917572243934,-0.6659917572243934,0.2336260272244317,0.02805045320424908,-0.6812633336089046,0.6532128804046555
44.81,-8.711357645607622,-10.65136636560764,-11.209225119242378,0.02126792884658002,0.02126792884658002,-0.48747161384659066,-0.35498938510824685,-0.14689913904862356,0.5018885241568704,-9.570822519769605,-9.084647459769617,-10.04657337153053,-0.6725362142074864,-0.6725362142074864,0.24017048420752474,0.028651113094789658,-0.6843296293069214,0.6556785162121318
44.82,-8.711170060745363,-10.651178780745381,-11.214074740954636,0.0162067532599508,0.0162067532599508,-0.48241043825996144,-0.3547414509872435,-0.15560514219074006,0.5103465931779836,-9.577580665837491,-9.091405605837503,-10.044138882762644,-0.6791056837274212,-0.6791056837274212,0.2467399537274595,0.029251954526430833,-0.6874673423015015,0.6582153877750707
44.83,-8.711033510542423,-10.65104223054244,-11.218873328007577,0.011059797158541329,0.011059797158541329,-0.47726348215855197,-0.3545021738389249,-0.1645424532507686,0.5190446270896936,-9.584404633444153,-9.098229573444165,-10.04163857245598,-0.685700882127005,-0.685700882127005,0.2533351521271321,0.029853126947775976,-0.690677419104256,0.66082429215648
44.84,-8.710948864802193,-10.65095758480221,-11.223620010597807,0.0058246091993119364,0.0058246091993119364,-0.4720282941993226,-0.354271499909316,-0.17372146484262113,0.5279929647519371,-9.591294683480031,-9.105119623480043,-10.039072179720101,-0.6923225335662586,-0.6923225335662586,0.2599568035662969,0.030454781481041585,-0.6939607771698162,0.6635059956887747
44.85,-8.710917018358437,-10.650925738358454,-11.228313893891563,0.0004986319024347097,0.0004986319024347097,-0.46670231690244535,-0.3540493800917876,-0.1831531145336971,0.5372024946254847,-9.598251084115478,-9.11207602411549,-10.036439436384654,-0.6989713696810007,-0.6989713696810007,0.266605639681039,0.031057071077324364,-0.6973182983359898,0.6662612272586654
44.86,-8.710938892164144,-10.650947612164162,-11.232954056935856,-0.004920804023278436,-0.004920804023278436,-0.4612828809767322,-0.35383576997860433,-0.19284892054704134,0.5466846905256456,-9.605274110873651,-9.119099050873663,-10.03374006692648,-0.7056481291709105,-0.7056481291709105,0.27328239917094876,0.03166015067840099,-0.7007508213990246,0.6690906707206237
44.87,-8.711015434438902,-10.65102415443892,-11.237539551511098,-0.010436485726383893,-0.010436485726383893,-0.45576719927362674,-0.35363062992269056,-0.20282102017625203,0.5564516500989426,-9.612364046698897,-9.126188986698908,-10.030973788401235,-0.7123535573062334,-0.7123535573062334,0.2799878273061829,0.032264177385585166,-0.7042591337164007,0.6719949563308156
44.88,-8.711147621878672,-10.65115634187869,-11.242069400921329,-0.01605132465822834,-0.01605132465822834,-0.4501523603417823,-0.3534339251101888,-0.2130822111492886,0.5665161362594774,-9.619521182019776,-9.133346122019788,-10.028140310380357,-0.7190884053432711,-0.7190884053432711,0.2867226753432206,0.03286931063620725,-0.7078439617156951,0.6749746510794878
44.89,-8.711336460932067,-10.651345180932084,-11.246542598717934,-0.02176836344869315,-0.02176836344869315,-0.44443532155122867,-0.3532456256444305,-0.22364599620030307,0.5768916218447335,-9.626745814805762,-9.140570754805774,-10.025239334894371,-0.725853429837553,-0.725853429837553,0.29348769983750245,0.03347571238832634,-0.7115059601719959,0.6780302477836696
44.9,-8.711582989147646,-10.651591709147663,-11.250958107352353,-0.027590783246811412,-0.027590783246811412,-0.4386129017531104,-0.35306570664202447,-0.23452663113414857,0.587592337776173,-9.634038250616527,-9.147863190616539,-10.022270556383607,-0.7326493918403898,-0.7326493918403898,0.3002836618403393,0.034083547314333676,-0.7152457000983229,0.6811621527839893
44.910000000000004,-8.711888276597003,-10.65189699659702,-11.255314856752996,-0.033521911560896456,-0.033521911560896456,-0.4326817734391142,-0.35289414834182914,-0.24573917669638562,0.5986333250382148,-9.64139880264257,-9.155223742642582,-10.019233661657564,-0.7394770559646879,-0.7394770559646879,0.3071113259646374,0.03469298300415825,-0.7190636550726626,0.6843706720685043
44.92,-8.712253427378863,-10.652262147378881,-11.259611742821136,-0.039565230640192794,-0.039565230640192794,-0.42663845435981784,-0.3527309362276658,-0.25729955459297604,0.6100304908206419,-9.64882779173582,-9.162652731735832,-10.016128329864314,-0.7463371893031479,-0.7463371893031479,0.31397145930309733,0.035304190178847124,-0.7229601858016056,0.6876559956227585
44.93,-8.712679581209807,-10.652688301209825,-11.263847625840192,-0.045724386440326725,-0.045724386440326725,-0.4204792985596839,-0.3525760611657205,-0.26922460803853476,0.6218006692042553,-9.656325546428633,-9.170150486428644,-10.012954232471502,-0.753230560180107,-0.753230560180107,0.3208648301800565,0.03591734291535337,-0.7269355226934945,0.6910181797781412
44.94,-8.71316791510767,-10.653176635107688,-11.26802132879233,-0.05200319822034061,-0.05200319822034061,-0.41420048677967003,-0.3524295195576761,-0.281532167250657,0.6339616868083331,-9.663892402939423,-9.177717342939435,-10.009711033260713,-0.7601579367155331,-0.7601579367155331,0.3277922067154826,0.036532618883441004,-0.7309897461829127,0.6944571272994717
44.95,-8.713719645174214,-10.653728365174231,-11.272131635575786,-0.05840566882371334,-0.05840566882371334,-0.4077980161762973,-0.35229131351074094,-0.2942411203506284,0.6465324338613693,-9.671528705162943,-9.185353645162955,-10.006398388337193,-0.7671200851766535,-0.7671200851766535,0.334754355176603,0.03715019959568762,-0.7351227645128566,0.6979725649171691
44.96,-8.714336028484144,-10.654344748484162,-11.276177289115855,-0.06493599569905584,-0.06493599569905584,-0.4012676893009548,-0.3521614510258476,-0.3073714901785732,0.6595329412044209,-9.679234804642956,-9.193059744642968,-10.00301594615718,-0.7741177680910205,-0.7741177680910205,0.3417520380910588,0.0377702706716576,-0.7393342886399971,0.7015640179683396
44.97,-8.715018365088195,-10.655027085088213,-11.280156989361805,-0.07159858272398623,-0.07159858272398623,-0.3946051022760244,-0.352039946205447,-0.3209445175841302,0.6729844637895772,-9.687011060524764,-9.200836000524776,-9.999563347575371,-0.7811517420896585,-0.7811517420896585,0.34878601208969684,0.03839302211741055,-0.743623803881572,0.7052307817641615
44.980000000000004,-8.715768000138624,-10.655776720138642,-11.284069391161376,-0.07839805289941992,-0.07839805289941992,-0.3878056321005907,-0.35192681948246696,-0.3349827518128286,0.6869095712952956,-9.694857839484749,-9.20868277948476,-9.996040225915387,-0.7882227554447674,-0.7882227554447674,0.35585702544471687,0.039018648621614666,-0.747990537868366,0.7089718892467514
44.99,-8.716586326146183,-10.656595046146201,-11.287913102003817,-0.0853392619887039,-0.0853392619887039,-0.38086442301130674,-0.3518220978721781,-0.3495101486741741,0.7013322465463523,-9.70277551563366,-9.216600455633671,-9.992446207066477,-0.7953315452631671,-0.7953315452631671,0.36296581526311655,0.03964734986965099,-0.7524334243059393,0.7127860744362884
45.0,-8.717474785378398,-10.657483505378416,-11.291686679621602,-0.09242731318392927,-0.09242731318392927,-0.37377637181608137,-0.35172581524889646,-0.3645521772508618,0.7162779924997582,-9.710764470390012,-9.224589410390024,-9.988780909610124,-0.8024788342908096,-0.8024788342908096,0.37011310429075905,0.04027933087722288,-0.7569510619743466,0.7166717310971238
45.01,-8.718434872409862,-10.65844359240988,-11.295388629440138,-0.0996675728895724,-0.0996675728895724,-0.36653611211043824,-0.35163801264966715,-0.38013593599042966,0.7317739486400968,-9.718825092319475,-9.232650032319487,-9.985043944980662,-0.8096653272761323,-0.8096653272761323,0.37729959727608176,0.0409148023451266,-0.7615416683135144,0.7206268659683879
45.02,-8.71946813683619,-10.659476856836207,-11.29901740186381,-0.10706568772134162,-0.10706568772134162,-0.359137997278669,-0.35155873860731046,-0.39629027911202114,0.7478490177193315,-9.726957776935535,-9.240782716935547,-9.981234917664603,-0.8168917068350545,-0.8168917068350545,0.384525976835004,0.0415539810369952,-0.7662030268451785,0.7246490458081833
45.03,-8.720576186164289,-10.660584906164306,-11.302571389385712,-0.11462760282938689,-0.11462760282938689,-0.35157608217062375,-0.3514880495154715,-0.413045954362996,0.7645340038784676,-9.735162926456177,-9.248987866456188,-9.977353425443962,-0.8241586287510927,-0.8241586287510927,0.3917928987510422,0.04219709018200468,-0.7709324275707324,0.7287353373887278
45.04,-8.721760688892777,-10.661769408892795,-11.306048923507223,-0.12235958166533223,-0.12235958166533223,-0.3438441033346784,-0.35142601002862095,-0.43043575327404865,0.7818617633026697,-9.743440949510557,-9.257265889510569,-9.973399059689582,-0.8314667166352763,-0.8314667166352763,0.39910098663522575,0.04284435990472257,-0.7757265993548349,0.7328822394501123
45.050000000000004,-8.723023377797595,-10.663032097797613,-11.309448271452405,-0.13026822732529197,-0.13026822732529197,-0.33593545767471866,-0.35137269350027994,-0.44849467518887504,0.799867368689155,-9.751792260788882,-9.265617200788894,-9.969371405711257,-0.8388165558598004,-0.8388165558598004,0.4064508258598387,0.043496027684497604,-0.7805816331539833,0.7370856054694858
45.06,-8.724366053439283,-10.6643747734393,-11.312767632660718,-0.13836050561346624,-0.13836050561346624,-0.3278431793865444,-0.351328182463131,-0.46726010648664146,0.8185882889497725,-9.760217280627753,-9.274042220627765,-9.965270043172385,-0.8462086866667384,-0.8462086866667384,0.41384295666677673,0.04415233884702632,-0.785492894773876,0.7413405559268497
45.07,-8.725790587909865,-10.665799307909882,-11.316005135040136,-0.1466437699868095,-0.1466437699868095,-0.31955991501320113,-0.3512925691550873,-0.4867720165744897,0.838064585729577,-9.768716434522217,-9.282541374522228,-9.961094546577922,-0.8536435963391042,-0.8536435963391042,0.42127786633914255,0.044813547091002714,-0.7904549256346226,0.7456413785436199
45.08,-8.72729892883902,-10.667307648839037,-11.319158830960982,-0.15512578855796377,-0.15512578855796377,-0.31107789644204686,-0.35126595609588696,-0.5070731724049546,0.8583391285008415,-9.777290152554535,-9.291115092554547,-9.956844485845602,-0.8611217103054791,-0.8611217103054791,0.4287559803055174,0.045479915053054217,-0.795461329783842,0.7499814147307878
45.09,-8.728893103681024,-10.668901823681042,-11.322226692968977,-0.1638147733514117,-0.1638147733514117,-0.30238891164859893,-0.3512484567193117,-0.5282093734714735,0.8794578301907852,-9.785938868728326,-9.299763808728338,-9.952519426971811,-0.8686433820301431,-0.8686433820301431,0.43627765203018143,0.04615171491450148,-0.8005046451176187,0.7543529302031172
45.1,-8.730575224306047,-10.670583944306065,-11.325206609193954,-0.17271941203000907,-0.17271941203000907,-0.29348427297000157,-0.3512401960667505,-0.5502297094567545,0.9014699055235049,-9.794663020195138,-9.30848796019515,-9.948118932804999,-0.8762088815180924,-0.8762088815180924,0.4438431515181307,0.04682922905385463,-0.8055761964411944,0.7587469673873398
45.11,-8.732347491921624,-10.672356211921642,-11.328096378428377,-0.18184890233019502,-0.18184890233019502,-0.2843547826698156,-0.3512413115485252,-0.5731868429556461,0.9244281545041715,-9.803463046358688,-9.3172879863587,-9.943642563941449,-0.8838183822393653,-0.8838183822393653,0.45145265223940356,0.0475127507493736,-0.8106659276156768,0.7631531768663032
