Time,StepCount,y_hat[1],y_hat[2],y_hat[3]
449,11225,0.00627592,0.000285627,-4.69027e-05
450,11250,0.0061339,0.000371396,-4.68677e-05
451,11275,0.00693997,0.000276403,-4.33488e-05
452,11300,0.00861374,0.000368739,-4.08109e-05
453,11325,0.00880648,0.000425328,-3.90798e-05
454,11350,0.00472939,0.000358329,-3.98792e-05
455,11375,-0.00407372,0.000374319,-4.47587e-05
456,11400,-0.0130881,0.000281112,-4.99753e-05
457,11425,-0.0157431,0.00025326,-5.2729e-05
458,11450,-0.0117667,0.00039024,-5.4328e-05
459,11475,-0.00597105,0.000303472,-5.28163e-05
460,11500,-0.00157913,0.000297583,-5.19353e-05
461,11525,-0.000125658,0.000377224,-5.31678e-05
462,11550,-7.61337e-05,0.000278657,-5.56414e-05
463,11575,-0.00125782,0.000300818,-5.94514e-05
464,11600,-0.00169592,0.000277998,-6.30739e-05
465,11625,0.000772933,0.000188993,-6.48833e-05
466,11650,0.00315624,0.000313381,-6.69506e-05
467,11675,0.00625751,0.000213087,-6.6345e-05
468,11700,0.0115938,0.000161816,-6.44261e-05
469,11725,0.0148579,0.000248785,-6.24996e-05
470,11750,0.0146999,0.000180191,-5.89203e-05
471,11775,0.0119509,0.00019504,-5.66329e-05
472,11800,0.00564624,0.000214706,-5.8203e-05
473,11825,-0.00308601,7.56049e-05,-6.08455e-05
474,11850,-0.0102263,5.1426e-05,-6.10332e-05
475,11875,-0.0114291,7.6516e-05,-5.8624e-05
476,11900,-0.0071058,0.000108263,-5.55328e-05
477,11925,-0.00301139,0.000121261,-5.23252e-05
478,11950,-0.00324268,5.22976e-05,-4.97607e-05
479,11975,-0.00608955,3.88927e-05,-4.99059e-05
480,12000,-0.00851269,4.60335e-05,-5.25721e-05
481,12025,-0.00856653,-3.49751e-05,-5.45897e-05
482,12050,-0.00754466,-3.26485e-06,-5.50322e-05
483,12075,-0.00633957,-4.22391e-05,-5.31804e-05
484,12100,-0.0024059,-5.05111e-05,-5.13675e-05
485,12125,0.00318097,6.92723e-05,-5.16218e-05
486,12150,0.00974701,-8.06799e-05,-4.96334e-05
487,12175,0.0143113,-6.79168e-05,-4.6063e-05
488,12200,0.0131358,8.32778e-05,-4.50739e-05
489,12225,0.0091318,-7.93666e-05,-4.7522e-05
490,12250,0.00516633,-7.46903e-05,-4.95487e-05
491,12275,0.00183154,-2.05859e-05,-4.84915e-05
492,12300,0.00028784,-0.000117919,-4.49816e-05
493,12325,0.00129047,-7.49983e-06,-4.32157e-05
494,12350,0.00320195,2.03502e-05,-3.98859e-05
495,12375,0.00256037,8.73335e-06,-3.68225e-05
496,12400,-0.0032189,7.50869e-05,-3.89995e-05
497,12425,-0.0112261,-5.12173e-05,-4.53091e-05
498,12450,-0.015376,-9.01782e-05,-4.98737e-05
499,12475,-0.0136845,4.66204e-05,-5.14797e-05
500,12500,-0.00819868,-1.69045e-05,-5.06043e-05
501,12525,-0.0031776,-3.66507e-06,-5.08882e-05
502,12550,-0.000541337,2.64604e-05,-5.14872e-05
503,12575,0.000846989,-2.83603e-06,-5.18177e-05
504,12600,0.00171998,4.99781e-05,-5.47908e-05
505,12625,0.00453823,-4.76488e-05,-5.89765e-05
506,12650,0.00800254,-5.11616e-05,-6.18729e-05
507,12675,0.00882553,3.47202e-05,-6.44029e-05
508,12700,0.0123973,-0.000106583,-6.52811e-05
509,12725,0.020014,-7.52665e-05,-6.6107e-05
510,12750,0.0281631,-7.27391e-05,-6.46662e-05
511,12775,0.0369594,-0.000119933,-6.06387e-05
512,12800,0.0455459,-2.51146e-05,-5.81035e-05
513,12825,0.0516403,-6.03801e-05,-6.01936e-05
514,12850,0.0553928,-0.000169516,-6.55879e-05
515,12875,0.0609446,-0.000197597,-6.91768e-05
516,12900,0.0744813,-0.000234649,-6.92726e-05
517,12925,0.0973968,-0.000152916,-6.94385e-05
518,12950,0.124002,-0.000163692,-6.79334e-05
519,12975,0.149665,-0.000258092,-6.49798e-05
520,13000,0.174781,-0.000179935,-6.45274e-05
521,13025,0.200538,-0.000210035,-6.77344e-05
522,13050,0.228736,-0.000312897,-7.19076e-05
523,13075,0.258241,-0.00024051,-7.4521e-05
524,13100,0.291734,-0.00033668,-7.41072e-05
525,13125,0.330591,-0.000289541,-7.44769e-05
