Time,StepCount,q[1],q[2],q[3]
274,6850,-0.0687578,0.000992093,-2.76551e-05
275,6875,-0.0482089,0.00114432,-2.44397e-05
276,6900,-0.0146012,0.00129052,-1.60924e-05
277,6925,0.0161219,0.00127015,-5.36165e-06
278,6950,0.0361303,0.0013402,3.01423e-07
279,6975,0.0441065,0.00138119,-3.18288e-06
280,7000,0.0443523,0.00122657,-1.07139e-05
281,7025,0.0373649,0.00132695,-1.76993e-05
282,7050,0.025967,0.00122114,-1.71018e-05
283,7075,0.0185777,0.00127527,-1.208e-05
284,7100,0.0163187,0.00158601,-7.404e-06
285,7125,0.0205438,0.00133752,4.27241e-06
286,7150,0.0238524,0.00145392,2.09201e-05
287,7175,0.0151002,0.00175257,3.35149e-05
288,7200,-0.00398207,0.00146089,3.59092e-05
289,7225,-0.0279618,0.0015061,3.24384e-05
290,7250,-0.0504997,0.00149896,3.06975e-05
291,7275,-0.0632795,0.00126901,3.46091e-05
292,7300,-0.0602884,0.00148168,3.8021e-05
293,7325,-0.0432978,0.00153035,4.79412e-05
294,7350,-0.0228064,0.00160241,5.87745e-05
295,7375,-0.0122836,0.00178127,5.74621e-05
296,7400,-0.0135416,0.00148234,3.99027e-05
297,7425,-0.0160939,0.00132096,1.63709e-05
298,7450,-0.0102884,0.00145334,-5.06027e-06
299,7475,0.00649745,0.00127343,-1.73587e-05
300,7500,0.0263586,0.00132346,-2.50273e-05
301,7525,0.0408543,0.00133762,-2.65591e-05
302,7550,0.0463084,0.00130953,-2.39111e-05
303,7575,0.0411904,0.00143545,-2.5768e-05
304,7600,0.0320757,0.00118949,-3.20046e-05
305,7625,0.0178829,0.00117895,-3.88627e-05
306,7650,-0.00541711,0.00127221,-4.67655e-05
307,7675,-0.0247735,0.000947821,-5.06043e-05
308,7700,-0.0348049,0.0010029,-5.32147e-05
309,7725,-0.0376867,0.0009031,-4.79433e-05
310,7750,-0.0333787,0.00082515,-3.41521e-05
311,7775,-0.0274277,0.00104501,-1.98351e-05
312,7800,-0.0289548,0.0010057,-1.62736e-05
313,7825,-0.0428479,0.000824639,-2.78079e-05
314,7850,-0.0626765,0.000679827,-4.5931e-05
315,7875,-0.0712954,0.000469898,-6.14709e-05
316,7900,-0.0569334,0.000608048,-7.5551e-05
317,7925,-0.0260675,0.000593492,-8.0383e-05
318,7950,0.00766761,0.000452662,-7.59152e-05
319,7975,0.0340412,0.000630105,-7.10463e-05
320,8000,0.046425,0.000560006,-7.31986e-05
321,8025,0.0454065,0.000354825,-8.18649e-05
322,8050,0.0300998,0.000447353,-9.22879e-05
323,8075,0.0108525,0.000161139,-9.66266e-05
324,8100,-0.00360693,0.000233969,-9.92365e-05
325,8125,-0.011435,0.000373098,-9.94125e-05
326,8150,-0.0098408,4.01569e-05,-8.81812e-05
327,8175,-0.0050138,0.000215427,-7.26179e-05
328,8200,-0.00723364,0.000316895,-5.73651e-05
329,8225,-0.0185283,8.84036e-05,-4.80428e-05
330,8250,-0.0380331,0.000182535,-4.63977e-05
331,8275,-0.0622227,3.12509e-05,-4.87453e-05
332,8300,-0.0818041,-0.00021616,-5.02549e-05
333,8325,-0.0857989,-0.000137555,-5.12332e-05
334,8350,-0.0692934,-0.000149274,-4.4901e-05
335,8375,-0.0409393,-3.57926e-05,-3.47794e-05
336,8400,-0.0165439,7.17364e-05,-2.98044e-05
337,8425,-0.00404079,-0.000140354,-3.72304e-05
338,8450,-0.000601769,-0.000230386,-5.35394e-05
339,8475,0.00181344,-0.000241816,-7.06496e-05
340,8500,0.00743438,-0.000379499,-8.33896e-05
341,8525,0.0124151,-0.000349041,-9.17233e-05
342,8550,0.0151433,-0.000459612,-9.14186e-05
343,8575,0.0164501,-0.000297756,-8.80076e-05
344,8600,0.0160208,-0.000242753,-8.61293e-05
345,8625,0.0165527,-0.00051015,-8.34854e-05
346,8650,0.0070595,-0.000280129,-8.11063e-05
347,8675,-0.0149296,-0.000319272,-8.46414e-05
348,8700,-0.0377909,-0.000618772,-9.10115e-05
349,8725,-0.0564545,-0.000482619,-9.78792e-05
350,8750,-0.0659422,-0.000705573,-9.53977e-05
351,8775,-0.0628167,-0.000680417,-8.82599e-05
352,8800,-0.0507582,-0.000440552,-7.8973e-05
353,8825,-0.0395963,-0.000480931,-7.21137e-05
354,8850,-0.0395484,-0.000421376,-7.78188e-05
355,8875,-0.051124,-0.000531839,-9.67781e-05
356,8900,-0.0599361,-0.00083029,-0.000118685
357,8925,-0.0522741,-0.000635754,-0.000140607
358,8950,-0.0289498,-0.000667126,-0.000152545
359,8975,0.00204531,-0.00076494,-0.000154665
360,9000,0.0278859,-0.000529944,-0.00015403
361,9025,0.0418158,-0.000603967,-0.000152884
362,9050,0.0402722,-0.000631273,-0.000155574
363,9075,0.0251611,-0.000552515,-0.000162961
364,9100,0.0072135,-0.000836311,-0.000168935
365,9125,-0.0109372,-0.000658881,-0.000174704
366,9150,-0.0266379,-0.000673686,-0.000175666
367,9175,-0.0310822,-0.000888327,-0.000167939
368,9200,-0.0286849,-0.000697931,-0.000157184
369,9225,-0.0268147,-0.000738755,-0.000139619
370,9250,-0.0280547,-0.000722587,-0.000120322
371,9275,-0.0376948,-0.000547406,-0.000109626
372,9300,-0.057339,-0.000725996,-0.000111243
373,9325,-0.079819,-0.000898407,-0.000117869
374,9350,-0.0904845,-0.000912173,-0.00012265
375,9375,-0.0779925,-0.000867503,-0.000122648
376,9400,-0.0471729,-0.00068792,-0.000117884
377,9425,-0.0140309,-0.00067898,-0.000108744
378,9450,0.0100663,-0.000678513,-0.000101913
379,9475,0.0221154,-0.000586096,-0.000103615
380,9500,0.0247499,-0.000709243,-0.000111598
381,9525,0.0212982,-0.000714407,-0.000120228
382,9550,0.0111535,-0.000686088,-0.00012413
383,9575,0.00260424,-0.000812803,-0.000119949
384,9600,-0.00118392,-0.00047138,-0.000116143
385,9625,0.00117468,-0.000524947,-0.000107668
386,9650,0.00675048,-0.000658411,-9.21553e-05
387,9675,0.00304895,-0.000257387,-7.65287e-05
388,9700,-0.0127575,-0.00036559,-7.02027e-05
389,9725,-0.0352781,-0.000513299,-7.15039e-05
390,9750,-0.0587109,-0.000343975,-7.46219e-05
391,9775,-0.0753019,-0.000586096,-7.10035e-05
392,9800,-0.0776907,-0.000478502,-6.67514e-05
393,9825,-0.064568,-0.000288266,-5.83008e-05
394,9850,-0.0435431,-0.000257552,-4.47962e-05
395,9875,-0.0283419,-1.27509e-05,-3.86765e-05
396,9900,-0.0262924,-7.54108e-05,-4.93974e-05
397,9925,-0.0296108,-0.000363468,-7.00239e-05
398,9950,-0.0271337,-0.000177147,-9.14918e-05
399,9975,-0.0131527,-0.000215522,-0.000105237
400,10000,0.00774975,-0.000236906,-0.000111952
401,10025,0.0256962,-8.59765e-05,-0.000113918
402,10050,0.0355177,-0.000114281,-0.000109317
403,10075,0.03437,5.43538e-05,-0.000106259
404,10100,0.0258256,1.40188e-05,-0.000108946
405,10125,0.0148188,-0.000138308,-0.000112829
406,10150,-0.00560174,0.000106531,-0.000118066
407,10175,-0.0274696,-8.07682e-05,-0.000120603
408,10200,-0.0398407,-0.000136934,-0.000120412
409,10225,-0.0447016,-3.80307e-05,-0.000116012
410,10250,-0.0423356,-0.000167969,-0.000101249
411,10275,-0.0357794,5.40316e-05,-8.2561e-05
412,10300,-0.0337459,0.000205488,-7.0387e-05
413,10325,-0.0432285,7.8859e-05,-7.34793e-05
414,10350,-0.0624405,3.98385e-06,-8.71936e-05
415,10375,-0.0768532,-0.000156115,-0.000100331
416,10400,-0.0706047,-8.98961e-05,-0.000111532
417,10425,-0.04346,9.24681e-05,-0.000117218
418,10450,-0.00908949,-2.53623e-05,-0.000111659
419,10475,0.0214736,0.000114874,-0.000102483
420,10500,0.0392075,0.000267094,-9.82834e-05
421,10525,0.0436402,6.63112e-05,-0.000101947
422,10550,0.0336194,0.000164973,-0.000109294
423,10575,0.0147567,8.80967e-05,-0.000113207
424,10600,-0.00131352,-2.64061e-05,-0.00011185
425,10625,-0.0111624,0.000310627,-0.000111343
426,10650,-0.0124764,0.000107772,-0.00010086
427,10675,-0.00698699,0.000105692,-8.29594e-05
428,10700,-0.00569881,0.000420977,-6.3938e-05
429,10725,-0.0138055,0.000273798,-4.93709e-05
430,10750,-0.0304062,0.000291179,-4.23997e-05
431,10775,-0.0534864,0.000366044,-4.15464e-05
432,10800,-0.0756375,9.02777e-05,-4.01478e-05
433,10825,-0.0858228,0.00014857,-3.90994e-05
434,10850,-0.0761057,0.000221784,-3.28635e-05
435,10875,-0.0500994,0.0003072,-2.03922e-05
436,10900,-0.0228006,0.000515981,-9.9279e-06
