Time,StepCount,Controlx,Controly,ControlMz
293,7325,26993.7,-11.0641,7265.5
294,7350,26435.2,-21.0048,6543.95
295,7375,26180.7,-15.2188,5904.07
296,7400,26685,-23.0629,6297.79
297,7425,27646.4,-7.83831,7909.64
298,7450,28108.3,8.45211,9477.31
299,7475,27646.9,-12.9913,10051
300,7500,26569.1,-9.48656,9440.52
301,7525,25597.7,-5.9431,8476.33
302,7550,25177.1,-12.0529,7748.22
303,7575,25128.4,-5.53584,7268.26
304,7600,25284.5,-12.1071,7553.46
305,7625,25316.8,-0.890695,8471.29
306,7650,25221.6,7.26395,9234.28
307,7675,25659.1,-10.67,9666.58
308,7700,25978.2,6.8234,9528.82
309,7725,25737.8,7.31612,9086.64
310,7750,25533.9,-0.588089,8373.17
311,7775,25469.9,8.02896,7244.26
312,7800,25607.8,-6.72179,6484.6
313,7825,26264.5,-7.30859,6818.29
314,7850,27453.1,9.78093,8295.51
315,7875,28624.7,13.644,9782.71
316,7900,28862.7,17.5546,10190
317,7925,27854.5,4.90945,9835.33
318,7950,26460.8,-3.75645,8963.48
319,7975,25655.2,11.7779,7708.18
320,8000,25466.5,3.58405,7036.33
321,8025,25698.5,-0.117495,7484.02
322,8050,25958,18.2567,8679.39
323,8075,26287.5,8.477,9727.5
324,8100,26403.8,13.829,9913.43
325,8125,25957.5,16.0295,9479.08
326,8150,25328.8,-5.95119,9116.83
327,8175,24691.1,15.7403,8180.41
328,8200,24270.7,13.028,7177.92
329,8225,24598,-6.66258,6718.46
330,8250,25488.9,11.2905,7006.01
331,8275,26505.5,9.80261,7825.38
332,8300,27474,5.44643,8608.55
333,8325,28073.1,21.783,8744.49
334,8350,27957,10.3062,8475.11
335,8375,27156.7,3.16533,7699.52
336,8400,26315.6,1.18658,6755.86
337,8425,26205.1,-4.11861,6495.75
338,8450,26782.6,10.099,7369.94
339,8475,27338,19.6217,8789.61
340,8500,27296.4,9.01893,9722.34
341,8525,26665,13.5003,9728.04
342,8550,26006,10.0958,9232.45
343,8575,25622,12.9109,8415.73
344,8600,25270.2,8.48902,7732.31
345,8625,24990.2,-0.650712,7734.53
346,8650,24620.2,21.4828,8082.97
347,8675,24709.2,13.1273,8395.88
348,8700,25587.1,0.800117,8947.59
349,8725,26277.3,26.6173,9500.52
350,8750,26509.3,15.9852,9730.03
351,8775,26496.8,15.5467,9136.97
352,8800,26250,21.4365,8066.26
353,8825,25984.6,0.768854,7344.47
354,8850,26133.2,5.70762,7129.28
355,8875,26956.4,12.2638,7918.97
356,8900,28154.5,13.6467,9511.85
357,8925,28748.1,31.7371,10716.4
358,8950,28104,16.8828,11077.3
359,8975,26823.1,5.18388,10505.6
360,9000,25706.2,20.6362,9222.62
361,9025,25190.9,8.63633,8384.59
362,9050,25229.4,8.89035,8263.33
363,9075,25526,21.1834,8836.68
364,9100,25963.2,11.4673,9833.81
365,9125,26030.4,25.818,10521.2
366,9150,25775,20.1263,10687.1
367,9175,25639.7,7.00203,10455.4
368,9200,25227.8,27.5802,9513.73
369,9225,24767.5,16.639,8636.99
370,9250,24870.3,11.5019,7838.63
371,9275,25380.6,18.8663,7249.87
372,9300,26221.4,8.65943,7485.6
373,9325,27382.7,16.6175,8639.28
374,9350,28420,32.1359,9731.23
375,9375,28672,24.771,9976.06
376,9400,27838.2,17.9453,9355.2
377,9425,26575.8,7.90328,8428.96
378,9450,25896.7,11.0874,7550.12
379,9475,26013.5,19.4078,7246.94
380,9500,26395.3,15.0227,7873.14
381,9525,26604,19.1131,9010.64
382,9550,26466.1,24.036,9797.95
383,9575,26337.4,14.2909,9879.11
384,9600,26032.7,23.716,9139.54
385,9625,25414,7.41634,8544.67
386,9650,24751.4,3.16321,8194.95
387,9675,24202.7,26.348,7616.14
388,9700,24375.7,3.23908,7214.32
389,9725,25309.5,0.373143,7653.39
390,9750,26280.6,24.2736,8651.32
391,9775,26972.1,8.26651,9342.02
392,9800,27290.5,14.3829,9036.35
393,9825,27125.8,15.6457,8289.29
394,9850,26602.8,-3.28859,7633.5
395,9875,26187.4,1.53684,6838.94
396,9900,26416,-2.79872,6747.72
397,9925,27325.6,-1.10247,7992.27
398,9950,28068.8,23.6999,9741.97
399,9975,27923,10.5323,10724.9
400,10000,26986.8,-0.235401,10516.5
401,10025,25880.5,9.92626,9522.12
402,10050,25254.5,1.28931,8693.98
403,10075,25109.7,4.98594,8053.92
404,10100,25222.1,3.18314,7987.89
405,10125,25377.6,2.30748,8745.42
406,10150,25251.7,19.5748,9618.35
407,10175,25466.5,3.85836,10161.6
408,10200,25937.9,6.19423,10239.2
409,10225,25837.8,20.5656,9798.1
410,10250,25560.1,6.44309,9226.09
411,10275,25463.6,13.7707,8158.56
412,10300,25511.8,7.01203,7135.91
413,10325,25969.3,-4.49938,6969.99
414,10350,27005.5,10.0688,8094.17
415,10375,28281.4,19.0605,9722.11
416,10400,28940.7,21.0842,10538.3
417,10425,28333.8,16.5619,10337.1
418,10450,26930.2,-0.802624,9658.22
419,10475,25870.6,10.026,8424.41
420,10500,25494.9,12.4733,7418.88
421,10525,25618.9,-0.493836,7425.81
422,10550,25894,14.6336,8441.05
423,10575,26168.2,15.9136,9611.25
424,10600,26430.2,8.1631,10142.9
425,10625,26167.8,21.1316,9761.49
426,10650,25543.1,-1.63176,9381.82
427,10675,24902.1,3.74926,8675.6
428,10700,24328.4,19.2998,7565.96
429,10725,24359.8,-5.82165,6857.5
430,10750,25115.2,0.414927,6866.41
431,10775,26114.3,11.9466,7548.35
432,10800,27114.5,-0.525823,8408.26
433,10825,27875.9,13.4291,8739.28
434,10850,28026,12.2785,8539.82
435,10875,27430.6,-1.58009,7946.28
436,10900,26513.4,-2.20648,6945.93
437,10925,26105.6,-9.10587,6348.69
438,10950,26516.6,-3.55708,6834.33
439,10975,27174.1,13.8425,8199.68
440,11000,27378.2,5.59985,9384.91
441,11025,26898.2,3.75427,9669.12
442,11050,26153,5.21321,9248.54
443,11075,25677.9,2.3519,8522.04
444,11100,25334.4,5.12705,7681.5
445,11125,25050.6,-9.03911,7425.93
446,11150,24731.7,3.83811,7736.59
447,11175,24542.8,13.3808,8079.61
448,11200,25195.3,-9.616,8516.93
449,11225,26049.1,8.60132,9096.75
450,11250,26397,14.3215,9419.62
451,11275,26454.5,0.929982,9162.76
452,11300,26287.5,13.7247,8102.76
453,11325,25993.6,-2.7027,7229.42
454,11350,25963.9,-9.5182,6792.47
455,11375,26560.9,1.99401,7219.11
456,11400,27722.4,0.967782,8634.25
457,11425,28659.9,15.77,10078.5
458,11450,28446.5,16.4143,10668.3
459,11475,27269.7,-6.20247,10451.6
460,11500,26035.4,6.55808,9278.81
461,11525,25277.5,5.55524,8197.82
462,11550,25170.6,-5.34884,7839.7
463,11575,25386.7,10.1511,8210.36
464,11600,25819,5.39388,9130.21
465,11625,26083.9,8.82302,10003.4
466,11650,25870.9,18.8805,10272.8
467,11675,25680.9,-2.56415,10223.9
468,11700,25394.6,11.9036,9481.23
469,11725,24856.3,15.5968,8499.28
470,11750,24739.3,0.648238,7719.65
471,11775,25150.7,9.45645,7027.1
472,11800,25874.6,4.79674,6939.4
473,11825,26950,1.79912,7832.9
474,11850,28094.9,21.1477,9044.61
475,11875,28690.4,20.2925,9604.81
476,11900,28222.9,12.3188,9229.55
477,11925,26998.6,3.60496,8357.66
478,11950,26040,0.29151,7441.19
479,11975,25928.7,10.2514,6917.81
480,12000,26291.9,11.0313,7257.07
481,12025,26603.7,8.96353,8329.89
482,12050,26555.6,18.7681,9288.68
483,12075,26369.9,10.4904,9636.33
484,12100,26178.5,14.308,9130.59
485,12125,25641.1,11.8054,8369.33
486,12150,24993.2,-6.85529,8036.39
487,12175,24362,16.272,7581.88
488,12200,24197,11.5092,7077.5
489,12225,24932.6,-10.0715,7191.54
490,12250,25952.9,15.5818,8102.4
491,12275,26743.2,12.5433,8987.96
492,12300,27197.3,4.62298,9073.97
493,12325,27202,17.2644,8326.18
494,12350,26771.9,-1.44639,7693.46
495,12375,26269.2,-4.11839,6926.47
496,12400,26240.2,-1.13524,6503.28
497,12425,26980.4,-7.72769,7303.75
498,12450,27913.8,14.5317,9067.12
499,12475,28108.1,18.6753,10400.1
500,12500,27393.5,-2.57518,10640
501,12525,26245.5,7.1563,9790.89
502,12550,26412.5,4.34705,8864.19
503,12575,27162.9,1.47159,8176.19
504,12600,28224,6.5969,7858.99
505,12625,29371.7,-0.360302,8380.16
506,12650,30178.6,15.4576,9330.99
507,12675,30888.2,13.6924,10000
508,12700,31968.1,0.62431,10293.6
509,12725,32588.5,20.9105,9964.36
510,12750,32685.8,12.855,9459.43
511,12775,32857.5,11.222,8593.55
512,12800,33098.2,15.1521,7475.44
513,12825,33554.6,-0.522998,6937.28
514,12850,34517.5,6.07492,7650.16
515,12875,35857.8,21.8977,9284.55
516,12900,36888.6,23.9638,10522.4
517,12925,36768.9,25.5878,10614.5
518,12950,35531.3,8.88968,10121.8
519,12975,34240.9,9.25555,9081.53
520,13000,33620.6,21.4602,7913.43
521,13025,33545.6,8.36573,7556.5
522,13050,33750.2,13.7154,8337.03
523,13075,33900.6,27.1805,9601.79
524,13100,34122.1,14.2244,10474.5
525,13125,33973.8,27.0249,10358.6
526,13150,33328.2,15.7062,9947.83
527,13175,32581.4,3.49337,9489.44
528,13200,31813.4,27.8571,8440.66
529,13225,31482,9.46624,7586.05
530,13250,31933.5,1.13594,7379.46
531,13275,32768.7,20.1258,7928.87
532,13300,33672.8,8.57012,8835.74
533,13325,34423.4,15.716,9418.21
534,13350,34651.2,24.2973,9375.05
535,13375,34124.3,8.41405,8965.52
536,13400,33073,6.06152,8030.34
537,13425,32320,-0.412868,7252.63
538,13450,32416.2,0.32532,7420.52
539,13475,32926.4,19.3367,8637.82
540,13500,33150.4,16.2093,9977.62
541,13525,32658.1,11.912,10544.3
542,13550,31728.6,15.2771,10308.7
543,13575,30984.6,10.9925,9685.01
544,13600,30432.4,15.9866,8793
545,13625,30034.1,0.415617,8398.52
546,13650,29653.4,8.74752,8595.92
547,13675,29177.6,24.386,8873.51
548,13700,29515.3,-1.53284,9258.19
549,13725,30275,14.2114,9905.38
550,13750,30575.1,25.3155,10386.2
551,13775,30599.5,9.17842,10297
552,13800,30360.7,23.6971,9276.81
553,13825,29936.7,7.78848,8383.6
554,13850,29740.2,-0.516472,7808.3
555,13875,30175.5,10.4164,7948.39
556,13900,31317.5,6.93512,9189.19
557,13925,32374.3,26.6834,10765.3
558,13950,32325.2,29.8819,11592.6
559,13975,31227.5,6.49829,11510.8
560,14000,29936.2,19.1157,10367.9
561,14025,29083.1,16.4276,9280.36
562,14050,28880.8,8.50058,8794.13
563,14075,28998,21.0534,8951.96
564,14100,29504.7,12.776,9804.92
565,14125,29884.3,24.4244,10704.5
566,14150,29843.6,27.3661,11079.2
567,14175,29704.9,7.49564,11062.6
568,14200,29255.6,27.1315,10297.6
569,14225,28703.7,20.2819,9470.36
570,14250,28561.3,13.0778,8603.33
571,14275,28861.2,19.029,7690.47
572,14300,29563.4,4.22741,7504.36
573,14325,30662.1,12.6779,8508.08
574,14350,31873.8,28.4015,9891.02
575,14375,32551,25.3039,10445.7
576,14400,32076.6,22.3149,9979.8
577,14425,30866.3,5.63014,9179.14
578,14450,30019.1,10.5679,8104.04
579,14475,29893.4,17.9305,7338.53
580,14500,30260.3,7.21911,7600.32
581,14525,30511.9,18.4692,8769.79
582,14550,30397.2,22.2932,9866.9
583,14575,30222.2,10.9376,10202.6
584,14600,29885.3,24.1649,9519.77
585,14625,29487.7,1.65562,8972.51
586,14650,28929.4,1.79129,8418.5
587,14675,28025.6,21.885,7571.2
588,14700,27846.8,-6.61415,7102.08
589,14725,28541.8,-0.760246,7446.45
590,14750,29377.2,14.0225,8357.69
591,14775,30164,-2.12071,9050.96
592,14800,30600.4,12.3436,8901.19
593,14825,30490.1,6.5648,8414.29
594,14850,29914,-5.4358,7673.45
595,14875,29346.1,-6.01382,6712.19
596,14900,29523.6,-16.0355,6480.89
597,14925,30477.7,-2.56586,7590.69
598,14950,31342.9,15.5401,9269.87
599,14975,31410,2.53095,10256.8
600,15000,30583.5,3.2653,10102.8
601,15025,29494.5,1.77527,9416.01
602,15050,28692.5,3.77504,8535.59
603,15075,28183.8,2.13162,7777.19
604,15100,28309.1,-11.4469,7849.57
605,15125,28520,10.9638,8512.07
606,15150,28561,9.42822,9109.45
607,15175,28836.8,-8.90311,9626.68
608,15200,28998.5,16.5693,9867.34
609,15225,28879.8,6.3445,9878.88
610,15250,28646.6,5.64175,9174.14
611,15275,28427.2,11.7124,8014.52
612,15300,28374.5,-10.8944,7250.32
613,15325,28752.6,-3.24709,7147.82
614,15350,29842.3,1.40397,8076.33
615,15375,31344.4,5.11824,9570.14
616,15400,32161,25.5579,10466.2
617,15425,31688.3,4.53874,10610.9
618,15450,30541.6,-0.526878,9794.16
619,15475,29547.4,11.4934,8453.73
620,15500,29247,-2.3534,7731.42
621,15525,29259.4,5.95263,7829.25
622,15550,29363.1,10.4263,8676.54
623,15575,29641.7,3.95936,9770.61
624,15600,29757.3,22.7673,10193.5
625,15625,29877.7,4.10653,10139.2
626,15650,29602.8,2.33801,9567.1
627,15675,28577.3,17.2758,8582.67
628,15700,27844.3,0.551036,7848.27
629,15725,27876.8,5.52297,7126.82
630,15750,28390.6,2.28196,6805.86
631,15775,29345.8,-6.18392,7370.28
632,15800,30464.6,12.6399,8522.8
633,15825,31326.2,13.1304,9255.77
634,15850,31415.5,12.0009,8960.87
635,15875,30656.9,0.857724,8199.45
636,15900,29922.6,-9.8819,7341.72
637,15925,29921.7,3.84993,6619.23
638,15950,30503.9,1.21787,6728.01
639,15975,31140.9,2.17732,7843.62
640,16000,31176,16.8114,9047.85
641,16025,30736.8,2.6619,9651.22
642,16050,30022.4,10.9146,9204.83
643,16075,29230,8.69914,8420.85
644,16100,28952.2,-14.0073,8087.72
645,16125,28711.7,11.4234,7590.57
646,16150,28353.1,6.29338,7183.08
647,16175,28401.3,-12.8739,7376.57
648,16200,28811.1,12.1258,8233.74
649,16225,29332.8,3.9139,9081.96
650,16250,29648.1,2.78622,9156.99
651,16275,29662.6,13.3533,8552.41
652,16300,29363.7,-2.59851,7915.63
653,16325,28905.5,-2.66783,6999.56
654,16350,28959.3,-10.4453,6478.47
655,16375,30018.1,-10.7153,7273.91
656,16400,31438.3,17.5792,9093.45
657,16425,32211.9,13.9962,10467.2
658,16450,31838.3,4.9927,10626.8
659,16475,30718.7,7.02311,9922.35
660,16500,29816.4,5.17121,9052.71
661,16525,29132.6,12.4846,8130.18
662,16550,28823.8,-2.49376,7910.35
663,16575,28944.1,4.02312,8733.51
664,16600,29085.9,25.9488,9730.37
665,16625,29582.3,3.56805,10322.7
666,16650,29888.2,12.4356,10421.1
667,16675,29340.8,21.9069,10228.5
668,16700,28575.9,8.02524,9810.24
669,16725,28100.9,21.3923,8708.42
670,16750,27921.4,5.93123,7757.9
671,16775,28200.4,-1.36522,7410.8
672,16800,29068.6,12.6555,8060.18
673,16825,30447.3,8.88773,9417
674,16850,31636,27.9398,10388.2
675,16875,31749.9,24.4875,10576.6
676,16900,30992.9,2.52657,10103.2
677,16925,30137.8,17.4357,8736.08
678,16950,29863.8,9.48513,7691.05
679,16975,30095.8,7.22604,7625.69
680,17000,30290.2,22.7381,8445.73
681,17025,30452.7,10.8573,9655.85
682,17050,30224.9,24.2431,10320.2
683,17075,29798,23.3847,10255.4
684,17100,29642.8,3.06159,9881.55
685,17125,29232.2,21.172,8887.15
686,17150,28500.8,14.643,8024.88
687,17175,27960.3,8.00061,7425.9
688,17200,27932.6,15.0849,7165.88
689,17225,28519.3,3.04401,7554.27
690,17250,29335.2,12.8117,8472.51
691,17275,30096.7,21.2382,9207.96
692,17300,30434.1,16.9771,9109.49
693,17325,29955.8,15.3177,8331.3
694,17350,29213.1,-4.09189,7552.43
695,17375,29201.1,2.52093,6888.92
696,17400,30026.2,10.9859,6908.99
697,17425,31215,6.06459,7929.05
698,17450,31799.1,22.7306,9207.9
699,17475,31499.9,13.9426,9924.28
700,17500,30793.9,8.86707,9734.58
701,17525,29757.7,22.8577,8775.89
702,17550,27990.2,-4.64279,8355.66
